"lon","lat","date","track_name","type"
"132",-120.242053627973,29.9382573496388,2015-11-06,"crw_sim_2015CA-Bmu-05640","pseudos"
"133",-126.354819759776,36.2573568633484,2007-12-09,"crw_sim_2007CA-Bmu-10838","pseudos"
"134",-94.0605890414809,5.16752987259221,2001-04-29,"crw_sim_2000CA-Bmu-01390","pseudos"
"135",-124.866695753952,37.1458353794562,2007-11-05,"crw_sim_2007CA-Bmu-04174","pseudos"
"136",-121.445020064078,34.264828677853,2015-07-19,"crw_sim_2015CA-Bmu-05650","pseudos"
"137",-123.809237290514,38.2526153919827,2016-09-13,"crw_sim_2016CA-Bmu-00843","pseudos"
"138",-119.756803081163,24.4614135500473,2008-03-23,"crw_sim_2007CA-Bmu-10836","pseudos"
"139",-120.778954815929,34.4841346593801,2007-12-27,"crw_sim_2007CA-Bmu-10838","pseudos"
"140",-125.71666164572,31.7657518444177,2004-12-18,"crw_sim_2004CA-Bmu-10843","pseudos"
"141",-114.694123878701,27.8036883477926,2015-11-10,"crw_sim_2015CA-Bmu-05640","pseudos"
"142",-117.781693336475,32.5689449500429,2017-11-04,"crw_sim_2017CA-Bmu-00826","pseudos"
"143",-136.950626786887,15.0750894956028,2005-12-08,"crw_sim_2005CA-Bmu-10821","pseudos"
"144",-119.32787128333,31.5489033031445,2015-08-06,"crw_sim_2015CA-Bmu-05650","pseudos"
"145",-123.16843392022,35.5345317873958,2004-08-23,"crw_sim_2004CA-Bmu-23030","pseudos"
"146",-127.468459136956,34.3797037692814,2004-10-10,"crw_sim_2004CA-Bmu-10833","pseudos"
"147",-127.106244714416,42.8316685373908,2015-09-20,"crw_sim_2015CA-Bmu-23031","pseudos"
"148",-119.721728694821,30.5119669373914,2014-08-31,"crw_sim_2014CA-Bmu-05923","pseudos"
"149",-119.663908956943,33.3261595308507,1995-08-24,"crw_sim_1995CA-Bmu-04172","pseudos"
"150",-120.921217965794,33.3509151045535,1999-10-15,"crw_sim_1999CA-Bmu-00838","pseudos"
"151",-125.03127770903,39.8186484159291,2016-09-16,"crw_sim_2016CA-Bmu-05843","pseudos"
"152",-125.549789355588,33.7611057142487,2014-09-24,"crw_sim_2014CA-Bmu-23030","pseudos"
"153",-122.937397033793,37.6411653360121,2004-08-19,"crw_sim_2004CA-Bmu-10843","pseudos"
"154",-120.457607486044,33.2146906721001,1999-10-11,"crw_sim_1999CA-Bmu-02082","pseudos"
"155",-117.586168451557,32.8327931752578,1999-09-22,"crw_sim_1999CA-Bmu-23043","pseudos"
"156",-118.250060871358,20.4015433729154,2000-04-16,"crw_sim_1999CA-Bmu-00838","pseudos"
"157",-113.512214222053,29.5600422280589,2005-01-10,"crw_sim_2004CA-Bmu-10821","pseudos"
"158",-123.564574620479,37.0156126524131,2001-04-25,"crw_sim_2000CA-Bmu-10832","pseudos"
"159",-131.480810482512,27.0559504404422,2008-03-17,"crw_sim_2007CA-Bmu-04174","pseudos"
"160",-121.252732253804,34.9986478931978,2015-07-15,"crw_sim_2015CA-Bmu-05841","pseudos"
"161",-124.56610996958,31.4524318690108,2014-09-12,"crw_sim_2014CA-Bmu-10836","pseudos"
"162",-130.104465131792,39.0789533601267,2004-11-02,"crw_sim_2004CA-Bmu-10843","pseudos"
"163",-119.94803803755,25.2716649193817,2005-11-14,"crw_sim_2005CA-Bmu-01390","pseudos"
"164",-123.096413531286,35.8869717495955,1999-10-13,"crw_sim_1999CA-Bmu-23043","pseudos"
"165",-117.333718932018,25.9105078801546,2000-03-19,"crw_sim_1999CA-Bmu-23030","pseudos"
"166",-123.655984448691,37.319266211775,2004-11-01,"crw_sim_2004CA-Bmu-01389","pseudos"
"167",-133.932038371329,35.1433543744818,2008-03-08,"crw_sim_2007CA-Bmu-04174","pseudos"
"168",-120.859664761034,34.8981756566923,2007-11-22,"crw_sim_2007CA-Bmu-10836","pseudos"
"169",-123.255940804403,24.6241204658083,2015-10-04,"crw_sim_2015CA-Bmu-00825","pseudos"
"170",-123.046094751581,36.8254868216005,2004-11-03,"crw_sim_2004CA-Bmu-10821","pseudos"
"171",-119.822137695479,33.4185871893646,1998-08-30,"crw_sim_1998CA-Bmu-00833","pseudos"
"172",-123.973046762516,39.0000831140036,2006-10-16,"crw_sim_2006CA-Bmu-10839","pseudos"
"173",-115.975609464338,28.3081396436593,2017-11-24,"crw_sim_2017CA-Bmu-00841","pseudos"
"174",-126.589596285959,29.9671135519495,2004-10-10,"crw_sim_2004CA-Bmu-04175","pseudos"
"175",-120.386722712151,27.7540161604762,2000-01-02,"crw_sim_1999CA-Bmu-00838","pseudos"
"176",-117.099111536414,31.3455189767777,2000-04-01,"crw_sim_1999CA-Bmu-04176","pseudos"
"177",-122.57288826639,28.3054601141427,2015-10-27,"crw_sim_2015CA-Bmu-05678","pseudos"
"178",-122.017762065267,35.4280806418411,2017-08-27,"crw_sim_2017CA-Bmu-01385","pseudos"
"179",-118.699111427434,26.4211772836797,1996-04-30,"crw_sim_1995CA-Bmu-00841","pseudos"
"180",-119.262399761062,33.2434638920358,2015-08-11,"crw_sim_2015CA-Bmu-00825","pseudos"
"181",-121.152414137728,15.6867938574693,2008-02-20,"crw_sim_2007CA-Bmu-01385","pseudos"
"182",-122.360210878414,20.7374102039025,1998-10-22,"crw_sim_1998CA-Bmu-04174","pseudos"
"183",-118.544120497299,28.5909619675811,1999-11-03,"crw_sim_1999CA-Bmu-23043","pseudos"
"184",-122.317854523846,29.8003761319964,2008-03-13,"crw_sim_2007CA-Bmu-10836","pseudos"
"185",-121.131270682979,33.7617906400816,2017-07-27,"crw_sim_2017CA-Bmu-05803","pseudos"
"186",-119.292147417958,27.874280181842,1996-01-17,"crw_sim_1995CA-Bmu-00841","pseudos"
"187",-121.44700421403,30.9555148039021,2005-10-14,"crw_sim_2005CA-Bmu-10826","pseudos"
